Designator,Mid X,Mid Y,Rotation,Layer
J1_11,107.5,-93.5,270.0,top
J1_10,164.5,-81.0,270.0,top
J1_9,136.0,-81.0,270.0,top
J1_8,107.5,-81.0,270.0,top
J1_7,164.5,-68.5,270.0,top
J1_6,136.0,-68.5,270.0,top
J1_5,107.5,-68.5,270.0,top
J1_4,164.5,-56.0,270.0,top
J1_3,136.0,-56.0,270.0,top
J1_2,107.5,-56.0,270.0,top
J1,164.5,-143.5,270.0,top
R1_24,143.075,-147.75,0.0,top
R1_23,114.575,-147.75,0.0,top
R1_22,171.575,-135.25,0.0,top
R1_21,143.075,-135.25,0.0,top
R1_20,114.575,-135.25,0.0,top
R1_19,171.575,-122.75,0.0,top
R1_18,143.075,-122.75,0.0,top
R1_17,114.575,-122.75,0.0,top
R1_16,171.575,-110.25,0.0,top
R1_15,143.075,-110.25,0.0,top
R1_14,114.575,-110.25,0.0,top
R1_13,171.575,-97.75,0.0,top
R1_12,143.075,-97.75,0.0,top
R1_11,114.575,-97.75,0.0,top
R1_10,171.575,-85.25,0.0,top
R1_9,143.075,-85.25,0.0,top
R1_8,114.575,-85.25,0.0,top
R1_7,171.575,-72.75,0.0,top
R1_6,143.075,-72.75,0.0,top
R1_5,114.575,-72.75,0.0,top
R1_4,171.575,-60.25,0.0,top
R1_3,143.075,-60.25,0.0,top
R1_2,114.575,-60.25,0.0,top
R1,171.575,-147.75,0.0,top
R2_24,143.075,-146.25,180.0,top
R2_23,114.575,-146.25,180.0,top
R2_22,171.575,-133.75,180.0,top
R2_21,143.075,-133.75,180.0,top
R2_20,114.575,-133.75,180.0,top
R2_19,171.575,-121.25,180.0,top
R2_18,143.075,-121.25,180.0,top
R2_17,114.575,-121.25,180.0,top
R2_16,171.575,-108.75,180.0,top
R2_15,143.075,-108.75,180.0,top
R2_14,114.575,-108.75,180.0,top
R2_13,171.575,-96.25,180.0,top
R2_12,143.075,-96.25,180.0,top
R2_11,114.575,-96.25,180.0,top
R2_10,171.575,-83.75,180.0,top
R2_9,143.075,-83.75,180.0,top
R2_8,114.575,-83.75,180.0,top
R2_7,171.575,-71.25,180.0,top
R2_6,143.075,-71.25,180.0,top
R2_5,114.575,-71.25,180.0,top
R2_4,171.575,-58.75,180.0,top
R2_3,143.075,-58.75,180.0,top
R2_2,114.575,-58.75,180.0,top
R2,171.575,-146.25,180.0,top
R3_24,150.5,-139.225,90.0,top
R3_23,122.0,-139.225,90.0,top
R3_22,179.0,-126.725,90.0,top
R3_21,150.5,-126.725,90.0,top
R3_20,122.0,-126.725,90.0,top
R3_19,179.0,-114.225,90.0,top
R3_18,150.5,-114.225,90.0,top
R3_17,122.0,-114.225,90.0,top
R3_16,179.0,-101.725,90.0,top
R3_15,150.5,-101.725,90.0,top
R3_14,122.0,-101.725,90.0,top
R3_13,179.0,-89.225,90.0,top
R3_12,150.5,-89.225,90.0,top
R3_11,122.0,-89.225,90.0,top
R3_10,179.0,-76.725,90.0,top
R3_9,150.5,-76.725,90.0,top
R3_8,122.0,-76.725,90.0,top
R3_7,179.0,-64.225,90.0,top
R3_6,150.5,-64.225,90.0,top
R3_5,122.0,-64.225,90.0,top
R3_4,179.0,-51.725,90.0,top
R3_3,150.5,-51.725,90.0,top
R3_2,122.0,-51.725,90.0,top
R3,179.0,-139.225,90.0,top
R4_24,148.575,-148.5,180.0,top
R4_23,120.075,-148.5,180.0,top
R4_22,177.075,-136.0,180.0,top
R4_21,148.575,-136.0,180.0,top
R4_20,120.075,-136.0,180.0,top
R4_19,177.075,-123.5,180.0,top
R4_18,148.575,-123.5,180.0,top
R4_17,120.075,-123.5,180.0,top
R4_16,177.075,-111.0,180.0,top
R4_15,148.575,-111.0,180.0,top
R4_14,120.075,-111.0,180.0,top
R4_13,177.075,-98.5,180.0,top
R4_12,148.575,-98.5,180.0,top
R4_11,120.075,-98.5,180.0,top
R4_10,177.075,-86.0,180.0,top
R4_9,148.575,-86.0,180.0,top
R4_8,120.075,-86.0,180.0,top
R4_7,177.075,-73.5,180.0,top
R4_6,148.575,-73.5,180.0,top
R4_5,120.075,-73.5,180.0,top
R4_4,177.075,-61.0,180.0,top
R4_3,148.575,-61.0,180.0,top
R4_2,120.075,-61.0,180.0,top
R4,177.075,-148.5,180.0,top
TP1_24,158.0,-148.1,0.0,top
TP1_23,129.5,-148.1,0.0,top
TP1_22,186.5,-135.6,0.0,top
TP1_21,158.0,-135.6,0.0,top
TP1_20,129.5,-135.6,0.0,top
TP1_19,186.5,-123.1,0.0,top
TP1_18,158.0,-123.1,0.0,top
TP1_17,129.5,-123.1,0.0,top
TP1_16,186.5,-110.6,0.0,top
TP1_15,158.0,-110.6,0.0,top
TP1_14,129.5,-110.6,0.0,top
TP1_13,186.5,-98.1,0.0,top
TP1_12,158.0,-98.1,0.0,top
TP1_11,129.5,-98.1,0.0,top
TP1_10,186.5,-85.6,0.0,top
